time_start,time_end,cloud_description,clouds,precip,temperature,icon,code
2017-10-01,2017-10-02,Scattered_clouds,,,,,
2017-10-02,2017-10-03,Scattered_clouds,34.5,0.0,27.0,c02d,802
2017-10-03,2017-10-04,Scattered_clouds,,,,,
2017-10-04,2017-10-05,Scattered_clouds,36.5,0.0,25.5,c02d,802
2017-10-05,2017-10-06,Scattered_clouds,31.5,0.0,25.5,c02d,802
2017-10-06,2017-10-07,Scattered_clouds,,,,,
2017-10-07,2017-10-08,Scattered_clouds,40.0,0.0,24.0,c02n,802
2017-10-08,2017-10-09,Scattered_clouds,31.25,0.0,25.58,c02n,802
2017-10-09,2017-10-10,Scattered_clouds,26.8,0.0,21.6,c02n,802
2017-10-10,2017-10-11,Scattered_clouds,32.5,0.0,26.25,c02d,802
2017-10-11,2017-10-12,Scattered_clouds,,,,,
2017-10-12,2017-10-13,Scattered_clouds,,,,,
2017-10-13,2017-10-14,Scattered_clouds,29.88,0.0,28.12,c02d,802
2017-10-14,2017-10-15,Scattered_clouds,27.12,0.0,23.75,c02n,802
2017-10-15,2017-10-16,Scattered_clouds,23.67,0.0,25.0,c02n,802
2017-10-16,2017-10-17,Scattered_clouds,31.5,0.0,27.0,c02d,802
2017-10-17,2017-10-18,Scattered_clouds,27.0,0.0,24.0,c02n,802
2017-10-18,2017-10-19,Scattered_clouds,28.0,0.0,31.0,c02d,802
2017-10-19,2017-10-20,Scattered_clouds,27.0,0.0,24.0,c02d,802
2017-10-20,2017-10-21,Scattered_clouds,29.5,0.0,25.5,c02d,802
2017-10-21,2017-10-22,Scattered_clouds,33.0,0.0,24.0,c02n,802
2017-10-22,2017-10-23,Scattered_clouds,,,,,
2017-10-23,2017-10-24,Scattered_clouds,34.33,0.0,25.0,c02n,802
2017-10-24,2017-10-25,Scattered_clouds,,,,,
2017-10-25,2017-10-26,Scattered_clouds,31.67,0.0,26.67,c02d,802
2017-10-26,2017-10-27,Scattered_clouds,31.4,0.0,29.6,c02d,802
2017-10-27,2017-10-28,Scattered_clouds,30.67,0.0,24.0,c02n,802
2017-10-28,2017-10-29,Scattered_clouds,,,,,
2017-10-29,2017-10-30,Scattered_clouds,,,,,
2017-10-30,2017-10-31,Scattered_clouds,39.0,0.0,25.0,c02n,802
2017-10-31,2017-11-01,Scattered_clouds,,,,,
