time_start,time_end,cloud_description,clouds,precip,temperature,icon,code
2018-10-01,2018-10-02,Broken_clouds,54.8,0.0,23.4,c03n,803
2018-10-02,2018-10-03,Broken_clouds,60.5,0.0,19.38,c03n,803
2018-10-03,2018-10-04,Broken_clouds,55.17,0.0,23.83,c03n,803
2018-10-04,2018-10-05,Broken_clouds,56.69,0.0,22.85,c03n,803
2018-10-05,2018-10-06,Broken_clouds,52.25,0.0,21.75,c03n,803
2018-10-06,2018-10-07,Broken_clouds,49.33,0.0,22.83,c03n,803
2018-10-07,2018-10-08,Broken_clouds,66.0,0.0,22.0,c03n,803
2018-10-08,2018-10-09,Broken_clouds,59.67,0.0,27.0,c03d,803
2018-10-09,2018-10-10,Broken_clouds,57.83,0.0,24.5,c03n,803
2018-10-10,2018-10-11,Broken_clouds,69.0,0.0,22.5,c03d,803
2018-10-11,2018-10-12,Broken_clouds,51.75,0.0,26.0,c03d,803
2018-10-12,2018-10-13,Broken_clouds,61.1,0.0,23.5,c03n,803
2018-10-13,2018-10-14,Broken_clouds,57.44,0.0,24.22,c03n,803
2018-10-14,2018-10-15,Broken_clouds,58.0,0.0,23.29,c03d,803
2018-10-15,2018-10-16,Broken_clouds,57.29,0.0,22.71,c03n,803
2018-10-16,2018-10-17,Broken_clouds,61.33,0.0,27.0,c03n,803
2018-10-17,2018-10-18,Broken_clouds,46.85,0.0,25.0,c03n,803
2018-10-18,2018-10-19,Broken_clouds,56.6,0.0,25.9,c03n,803
2018-10-19,2018-10-20,Broken_clouds,,,,,
2018-10-20,2018-10-21,Broken_clouds,59.86,0.0,24.71,c03n,803
2018-10-21,2018-10-22,Broken_clouds,53.73,0.0,26.67,c03d,803
2018-10-22,2018-10-23,Broken_clouds,62.29,0.0,15.57,c03d,803
2018-10-23,2018-10-24,Broken_clouds,54.0,0.0,23.88,c03n,803
2018-10-24,2018-10-25,Broken_clouds,61.0,0.0,22.0,c03n,803
2018-10-25,2018-10-26,Broken_clouds,57.12,0.0,24.12,c03n,803
2018-10-26,2018-10-27,Broken_clouds,54.67,0.0,22.83,c03n,803
2018-10-27,2018-10-28,Broken_clouds,55.18,0.0,25.45,c03d,803
2018-10-28,2018-10-29,Broken_clouds,59.75,0.0,22.25,c03n,803
2018-10-29,2018-10-30,Broken_clouds,56.2,0.0,22.4,c03n,803
2018-10-30,2018-10-31,Broken_clouds,55.15,0.0,25.85,c03n,803
2018-10-31,2018-11-01,Broken_clouds,58.6,0.0,22.4,c03n,803
2018-11-01,2018-11-02,Broken_clouds,53.92,0.0,26.0,c03n,803
2018-11-02,2018-11-03,Broken_clouds,58.2,0.0,25.4,c03d,803
2018-11-03,2018-11-04,Broken_clouds,61.0,0.0,27.25,c03d,803
2018-11-04,2018-11-05,Broken_clouds,65.0,0.0,27.62,c03d,803
2018-11-05,2018-11-06,Broken_clouds,52.6,0.0,24.5,c03n,803
2018-11-06,2018-11-07,Broken_clouds,56.38,0.0,23.88,c03n,803
2018-11-07,2018-11-08,Broken_clouds,61.0,0.0,22.0,c03n,803
2018-11-08,2018-11-09,Broken_clouds,58.4,0.0,25.2,c03d,803
2018-11-09,2018-11-10,Broken_clouds,58.0,0.0,26.0,c03d,803
2018-11-10,2018-11-11,Broken_clouds,61.33,0.0,24.0,c03n,803
2018-11-11,2018-11-12,Broken_clouds,,,,,
2018-11-12,2018-11-13,Broken_clouds,54.33,0.0,30.33,c03d,803
2018-11-13,2018-11-14,Broken_clouds,56.67,0.0,26.33,c03n,803
2018-11-14,2018-11-15,Broken_clouds,62.7,0.0,25.4,c03n,803
2018-11-15,2018-11-16,Broken_clouds,,,,,
2018-11-16,2018-11-17,Broken_clouds,,,,,
2018-11-17,2018-11-18,Broken_clouds,55.78,0.0,0.0,c03n,803
2018-11-18,2018-11-19,Broken_clouds,,,,,
2018-11-19,2018-11-20,Broken_clouds,,,,,
2018-11-20,2018-11-21,Broken_clouds,,,,,
2018-11-21,2018-11-22,Broken_clouds,53.0,0.0,0.0,c03d,803
2018-11-22,2018-11-23,Broken_clouds,,,,,
2018-11-23,2018-11-24,Broken_clouds,68.5,0.0,27.5,c03d,803
2018-11-24,2018-11-25,Broken_clouds,61.5,0.0,29.0,c03d,803
2018-11-25,2018-11-26,Broken_clouds,,,,,
2018-11-26,2018-11-27,Broken_clouds,56.57,0.0,28.14,c03d,803
