time_start,time_end,cloud_description,clouds,precip,temperature,icon,code
2018-10-01,2018-10-02,Overcast_clouds,76.17,0.0,22.0,c04n,804
2018-10-02,2018-10-03,Overcast_clouds,71.33,0.0,26.0,c04d,804
2018-10-03,2018-10-04,Overcast_clouds,85.89,0.0,23.67,c04n,804
2018-10-04,2018-10-05,Overcast_clouds,75.5,0.0,23.75,c04n,804
2018-10-05,2018-10-06,Overcast_clouds,85.67,0.0,23.67,c04d,804
2018-10-06,2018-10-07,Overcast_clouds,91.92,0.0,25.17,c04d,804
2018-10-07,2018-10-08,Overcast_clouds,90.48,0.0,23.87,c04n,804
2018-10-08,2018-10-09,Overcast_clouds,91.58,0.0,23.08,c04n,804
2018-10-09,2018-10-10,Overcast_clouds,80.25,0.0,23.92,c04n,804
2018-10-10,2018-10-11,Overcast_clouds,82.23,0.0,22.95,c04n,804
2018-10-11,2018-10-12,Overcast_clouds,86.5,0.0,22.06,c04n,804
2018-10-12,2018-10-13,Overcast_clouds,80.7,0.0,21.9,c04n,804
2018-10-13,2018-10-14,Overcast_clouds,81.12,0.0,24.75,c04n,804
2018-10-14,2018-10-15,Overcast_clouds,84.07,0.0,23.47,c04n,804
2018-10-15,2018-10-16,Overcast_clouds,82.86,0.0,22.86,c04n,804
2018-10-16,2018-10-17,Overcast_clouds,88.23,0.0,23.92,c04n,804
2018-10-17,2018-10-18,Overcast_clouds,88.38,0.0,22.25,c04n,804
2018-10-18,2018-10-19,Overcast_clouds,78.79,0.0,23.5,c04n,804
2018-10-19,2018-10-20,Overcast_clouds,88.04,0.0,20.25,c04n,804
2018-10-20,2018-10-21,Overcast_clouds,87.94,0.0,25.29,c04n,804
2018-10-21,2018-10-22,Overcast_clouds,84.33,0.0,21.78,c04n,804
2018-10-22,2018-10-23,Overcast_clouds,85.0,0.0,22.1,c04n,804
2018-10-23,2018-10-24,Overcast_clouds,84.36,0.0,24.43,c04n,804
2018-10-24,2018-10-25,Overcast_clouds,90.05,0.0,24.5,c04n,804
2018-10-25,2018-10-26,Overcast_clouds,86.0,0.0,14.11,c04n,804
2018-10-26,2018-10-27,Overcast_clouds,87.33,0.0,22.89,c04n,804
2018-10-27,2018-10-28,Overcast_clouds,78.0,0.0,21.67,c04n,804
2018-10-28,2018-10-29,Overcast_clouds,75.8,0.0,22.4,c04n,804
2018-10-29,2018-10-30,Overcast_clouds,86.5,0.0,22.62,c04n,804
2018-10-30,2018-10-31,Overcast_clouds,85.0,0.0,23.0,c04n,804
2018-10-31,2018-11-01,Overcast_clouds,,,,,
2018-11-01,2018-11-02,Overcast_clouds,87.5,0.0,24.1,c04n,804
2018-11-02,2018-11-03,Overcast_clouds,89.53,0.0,24.67,c04n,804
2018-11-03,2018-11-04,Overcast_clouds,85.62,0.0,23.62,c04n,804
2018-11-04,2018-11-05,Overcast_clouds,82.5,0.0,24.12,c04n,804
2018-11-05,2018-11-06,Overcast_clouds,76.86,0.0,25.14,c04n,804
2018-11-06,2018-11-07,Overcast_clouds,80.0,0.0,23.0,c04n,804
2018-11-07,2018-11-08,Overcast_clouds,91.13,0.0,24.96,c04n,804
2018-11-08,2018-11-09,Overcast_clouds,87.21,0.0,24.89,c04n,804
2018-11-09,2018-11-10,Overcast_clouds,93.53,0.0,24.0,c04n,804
2018-11-10,2018-11-11,Overcast_clouds,92.38,0.0,26.29,c04n,804
2018-11-11,2018-11-12,Overcast_clouds,93.62,0.0,24.75,c04n,804
2018-11-12,2018-11-13,Overcast_clouds,92.12,0.0,24.94,c04n,804
2018-11-13,2018-11-14,Overcast_clouds,83.07,0.0,24.33,c04n,804
2018-11-14,2018-11-15,Overcast_clouds,82.86,0.0,25.79,c04n,804
2018-11-15,2018-11-16,Overcast_clouds,94.04,0.0,25.33,c04n,804
2018-11-16,2018-11-17,Overcast_clouds,94.96,0.0,11.75,c04n,804
2018-11-17,2018-11-18,Overcast_clouds,88.58,0.0,0.0,c04n,804
2018-11-18,2018-11-19,Overcast_clouds,96.29,0.0,0.0,c04n,804
2018-11-19,2018-11-20,Overcast_clouds,96.67,0.0,0.0,c04n,804
2018-11-20,2018-11-21,Overcast_clouds,88.58,0.0,0.0,c04n,804
2018-11-21,2018-11-22,Overcast_clouds,86.64,0.0,0.0,c04n,804
2018-11-22,2018-11-23,Overcast_clouds,90.38,0.0,7.42,c04n,804
2018-11-23,2018-11-24,Overcast_clouds,89.55,0.0,24.95,c04n,804
2018-11-24,2018-11-25,Overcast_clouds,91.2,0.0,25.6,c04n,804
2018-11-25,2018-11-26,Overcast_clouds,90.83,0.0,26.04,c04n,804
2018-11-26,2018-11-27,Overcast_clouds,86.47,0.0,24.65,c04n,804
2018-11-27,2018-11-28,Overcast_clouds,90.3,0.0,25.0,c04n,804
2018-11-28,2018-11-29,Overcast_clouds,86.24,0.0,25.52,c04n,804
2018-11-29,2018-11-30,Overcast_clouds,92.39,0.0,22.22,c04n,804
2018-11-30,2018-12-01,Overcast_clouds,88.71,0.0,23.18,c04n,804
2018-12-01,2018-12-02,Overcast_clouds,75.43,0.0,23.57,c04n,804
2018-12-02,2018-12-03,Overcast_clouds,79.0,0.0,24.67,c04d,804
2018-12-03,2018-12-04,Overcast_clouds,83.41,0.0,23.65,c04n,804
2018-12-04,2018-12-05,Overcast_clouds,93.15,0.0,24.6,c04n,804
2018-12-05,2018-12-06,Overcast_clouds,87.93,0.0,24.33,c04n,804
2018-12-06,2018-12-07,Overcast_clouds,86.94,0.0,24.19,c04n,804
2018-12-07,2018-12-08,Overcast_clouds,94.73,0.0,27.55,c04d,804
2018-12-08,2018-12-09,Overcast_clouds,87.82,0.0,26.36,c04n,804
2018-12-09,2018-12-10,Overcast_clouds,93.0,0.0,28.31,c04d,804
2018-12-10,2018-12-11,Overcast_clouds,94.94,0.0,27.18,c04n,804
