time_start,time_end,cloud_description,clouds,precip,temperature,icon,code
2016-12-19,2016-12-20,Overcast_clouds,84.86,0.0,28.86,c04d,804
2016-12-20,2016-12-21,Overcast_clouds,89.14,0.0,26.86,c04n,804
2016-12-21,2016-12-22,Overcast_clouds,95.57,0.0,24.86,c04n,804
2016-12-22,2016-12-23,Overcast_clouds,91.82,0.0,28.18,c04d,804
2016-12-23,2016-12-24,Overcast_clouds,94.0,0.0,28.29,c04n,804
2016-12-24,2016-12-25,Overcast_clouds,95.46,0.0,26.38,c04n,804
2016-12-25,2016-12-26,Overcast_clouds,90.36,0.0,27.57,c04n,804
2016-12-26,2016-12-27,Overcast_clouds,90.0,0.0,24.4,c04n,804
2016-12-27,2016-12-28,Overcast_clouds,89.25,0.0,27.06,c04n,804
2016-12-28,2016-12-29,Overcast_clouds,81.86,0.0,27.71,c04n,804
2016-12-29,2016-12-30,Overcast_clouds,83.85,0.0,26.54,c04n,804
2016-12-30,2016-12-31,Overcast_clouds,93.78,0.0,27.39,c04n,804
2016-12-31,2017-01-01,Overcast_clouds,88.4,0.0,19.4,c04n,804
2017-01-01,2017-01-02,Overcast_clouds,79.47,0.0,6.58,c04n,804
2017-01-02,2017-01-03,Overcast_clouds,88.8,0.0,28.8,c04n,804
2017-01-03,2017-01-04,Overcast_clouds,86.67,0.0,26.0,c04n,804
2017-01-04,2017-01-05,Overcast_clouds,73.38,0.0,27.88,c04d,804
2017-01-05,2017-01-06,Overcast_clouds,89.46,0.0,26.31,c04n,804
2017-01-06,2017-01-07,Overcast_clouds,90.9,0.0,27.62,c04n,804
2017-01-07,2017-01-08,Overcast_clouds,92.69,0.0,27.81,c04n,804
2017-01-08,2017-01-09,Overcast_clouds,96.33,0.0,23.44,c04n,804
2017-01-09,2017-01-10,Overcast_clouds,94.09,0.0,26.55,c04d,804
2017-01-10,2017-01-11,Overcast_clouds,88.8,0.0,25.2,c04n,804
2017-01-11,2017-01-12,Overcast_clouds,90.0,0.0,27.5,c04n,804
2017-01-12,2017-01-13,Overcast_clouds,94.71,0.0,24.96,c04n,804
