time_start,time_end,temperature,precips,clouds
2016-10-01,2016-10-02,"[23, 23, 22, 22, 21, 21, 21, 22.7, 22, 23, 24, 24, 25, 29.6, 27, 27, 28, 28, 27, 26, 25, 24, 23, 23]","[0.1, 0.1, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[63, 72, 82, 90, 96, 97, 95, 89, 86, 85, 91, 96, 96, 92, 86, 90, 92, 92, 95, 96, 96, 96, 97, 97]"
2016-10-02,2016-10-03,"[22, 22, 22, 22, 22, 22, 22, 21.9, 23, 24, 25, 27, 28, 28.6, 29, 29, 28, 26, 25, 24.5, 24, 23.8, 23.6, 23.4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[98, 98, 98, 98, 98, 88, 82, 75, 73, 74, 87, 97, 97, 97, 97, 96, 85, 75, 77, 79, 79, 81, 81, 81]"
2016-10-03,2016-10-04,"[23.2, 23, 23, 23, 23, 23, 23, 23, 23.7, 24.3, 25.6, 26.8, 28, 27.6, 29, 29, 30, 30, 29, 26.9, 25, 24, 23, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[79, 78, 77, 77, 74, 67, 56, 39, 34, 32, 37, 53, 66, 74, 80, 89, 95, 95, 93, 82, 71, 76, 71, 64]"
2016-10-04,2016-10-05,"[23, 22, 23, 23, 23, 23, 23, 22.6, 22.8, 23, 24, 26, 27, 28.4, 28, 29, 27.7, 27, 25, 24.3, 23, 23, 22, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[59, 44, 32, 22, 19, 23, 34, 70, 93, 94, 94, 94, 94, 95, 96, 96, 96, 94, 83, 69, 71, 68, 67, 85]"
2016-10-05,2016-10-06,"[22, 23, 22, 22, 22, 22, 23, 22.8, 23, 25, 25.6, 26.2, 26.8, 27.4, 28, 29, 29, 29, 28, 27, 26, 25, 24.3, 23.7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[90, 83, 75, 76, 78, 69, 66, 84, 90, 79, 76, 76, 80, 89, 93, 91, 85, 73, 59, 51, 66, 91, 98, 98]"
2016-10-06,2016-10-07,"[23.4, 23.2, 23.1, 23.1, 23, 23, 22, 23.4, 24.8, 26.2, 27.6, 28, 28.5, 28.9, 30, 29, 29, 28, 27, 25.9, 25, 25, 24, 23]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0, 0.1, 0.1, 0]","[97, 96, 92, 86, 82, 84, 88, 84, 76, 77, 90, 89, 88, 83, 81, 74, 65, 62, 72, 84, 92, 96, 97, 97]"
2016-10-07,2016-10-08,"[23, 22, 22, 22, 21, 21, 21.7, 22.3, 23, 24, 25, 26, 27, 27.5, 27, 27, 28, 27, 26, 24.7, 23, 22, 22, 21]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 97, 97, 97, 96, 87, 76, 77, 92, 95, 95, 96, 95, 92, 86, 76, 64, 58, 61, 64, 66, 66, 66, 62]"
2016-10-08,2016-10-09,"[21, 21, 21, 21, 21, 21, 21, 21.8, 23, 23, 24, 25, 27, 27.8, 29, 29, 28, 27, 26, 24.5, 23, 22, 23, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 59, 56, 59, 57, 49, 38, 29, 28, 25, 21, 27, 36, 32, 24, 22, 19, 22, 33, 63, 90, 97, 98, 98]"
2016-10-09,2016-10-10,"[22, 22, 23, 22, 22, 22, 22, 21.7, 22, 23, 23, 25, 27, 27.5, 28, 28, 27.4, 27, 26, 25, 24, 23.6, 23.2, 22.8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[95, 86, 77, 71, 68, 68, 67, 67, 71, 69, 53, 43, 57, 61, 52, 47, 45, 46, 50, 55, 59, 56, 54, 53]"
2016-10-10,2016-10-11,"[22.4, 22, 22, 22, 22, 22, 22.7, 23.3, 24.6, 25.8, 26.5, 27.3, 28, 29.6, 31, 32, 31, 31, 29, 28, 26.7, 25.3, 24.9, 24.6]","[0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[56, 76, 78, 77, 78, 80, 83, 91, 95, 95, 95, 89, 79, 75, 73, 68, 39, 49, 63, 74, 78, 78, 77, 69]"
