location,El Ecuador,El Ecuador,El Ecuador,El Ecuador
lat,3.51390,3.51390,3.51390,3.51390
lon,-73.89452,-73.89452,-73.89452,-73.89452
asl,614.350,614.350,614.350,614.350
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,El Ecuador Temperature [2 m elevation corrected],El Ecuador Precipitation Total,El Ecuador Wind Speed [10 m],El Ecuador Wind Direction [10 m]
20201114T1400,24.495771,0.0,5.3999996,89.99999
20201114T1500,25.545773,0.0,5.1544156,102.09476
20201114T1600,25.165771,0.0,5.2416787,105.9454
20201114T1700,24.285772,0.0,5.0911684,98.1301
20201114T1800,23.625772,0.0,3.96,89.99999
20201114T1900,23.095772,0.0,2.8799999,89.99999
20201114T2000,23.205772,0.0,1.4399999,89.99999
20201114T2100,23.415771,0.0,1.1384199,71.56504
20201114T2200,23.835772,0.4,1.8,306.8699
20201114T2300,24.235773,0.5,1.835647,281.30994
20201115T0000,23.635773,0.0,1.835647,281.30994
20201115T0100,23.085772,0.0,2.7416782,246.8014
20201115T0200,22.625772,0.0,3.4152596,251.56506
20201115T0300,22.455772,0.0,3.319036,257.4712
20201115T0400,22.475773,0.0,3.5455887,246.0375
20201115T0500,22.405773,0.0,3.7585104,253.30075
20201115T0600,22.695772,0.0,3.2399998,270.0
20201115T0700,23.715773,0.0,0.71999997,180.0
20201115T0800,24.745771,0.3,0.5091169,315.0
20201115T0900,24.935772,0.3,6.87779,83.99099
20201115T1000,24.955772,0.2,5.95906,64.98311
20201115T1100,24.625772,0.8,4.5536795,71.56504
20201115T1200,24.415771,0.7,2.1897945,99.46232
20201115T1300,24.165771,0.5,2.52,89.99999
20201115T1400,23.995771,0.5,3.319036,77.47118
20201115T1500,23.825771,0.5,3.671294,78.69006
20201115T1600,23.595772,0.6,2.52,89.99999
20201115T1700,23.345772,0.4,2.4149535,116.56505
20201115T1800,22.825771,0.0,1.9386592,111.80141
20201115T1900,22.705772,0.0,1.08,180.0
20201115T2000,22.585772,0.0,1.4399999,89.99999
20201115T2100,22.375772,0.0,2.6208394,254.0546
20201115T2200,22.325771,0.0,3.319036,257.4712
20201115T2300,22.445772,0.0,2.4149535,243.43495
20201116T0000,22.405773,0.0,2.5455842,261.8699
20201116T0100,22.345772,0.0,2.5455842,261.8699
20201116T0200,22.155773,0.0,2.8799999,270.0
20201116T0300,22.255772,0.0,3.6179552,275.7106
20201116T0400,22.335772,0.0,3.6,270.0
20201116T0500,22.365772,0.0,3.8773184,248.1986
20201116T0600,22.485773,0.0,4.1046314,254.74487
20201116T0700,23.735773,0.0,0.8049845,243.43495
20201116T0800,24.705772,0.0,1.2979984,123.69006
20201116T0900,23.925772,0.6,3.6,180.0
20201116T1000,24.105772,0.2,3.9763298,185.19443
20201116T1100,24.125772,0.6,2.0991426,149.03624
20201116T1200,23.885773,0.6,1.835647,101.30993
20201116T1300,23.785772,0.7,1.484318,104.03624
20201116T1400,23.625772,0.7,1.9386592,111.80141
20201116T1500,23.455772,0.6,2.5959969,123.69006
20201116T1600,23.195772,0.4,2.8116899,140.19443
20201116T1700,23.175772,0.0,3.0547013,135.0
20201116T1800,22.445772,0.0,2.2768397,108.434944
20201116T1900,22.385773,0.0,1.835647,101.30993
20201116T2000,22.315773,0.0,1.08,270.0
20201116T2100,22.505772,0.0,1.0182338,225.0
20201116T2200,22.705772,0.0,0.71999997,270.0
20201116T2300,22.895773,0.0,2.4149535,333.43497
20201117T0000,22.865772,0.0,2.1897945,279.46234
20201117T0100,22.775772,0.0,1.08,270.0
20201117T0200,22.495771,0.0,2.1897945,279.46234
20201117T0300,22.365772,0.0,1.8,233.1301
20201117T0400,22.115772,0.0,2.8116899,219.80557
20201117T0500,21.975773,0.0,2.8116899,219.80557
20201117T0600,22.085772,0.0,2.0991426,210.96376
20201117T0700,22.735773,0.3,0.71999997,89.99999
20201117T0800,22.805773,0.7,3.5455887,66.037506
20201117T0900,22.835772,1.6,5.00128,59.74356
20201117T1000,22.815773,1.7,5.1919937,56.30993
20201117T1100,22.775772,1.5,6.297428,59.036255
20201117T1200,22.415771,0.7,5.6233797,50.194427
20201117T1300,22.715773,0.0,5.6002855,44.999985
20201117T1400,22.275772,0.0,4.6800003,67.380135
20201117T1500,22.145773,0.0,5.0911684,98.1301
20201117T1600,21.925772,0.0,5.2416787,105.9454
20201117T1700,21.665771,0.0,4.802999,102.99461
20201117T1800,21.315773,0.0,3.319036,102.52881
20201117T1900,21.315773,0.0,2.8116899,129.80557
20201117T2000,21.235773,0.2,2.6208394,164.0546
20201117T2100,21.055773,0.0,2.1897945,170.53767
20201117T2200,20.885773,0.0,0.0,180.0
20201117T2300,20.775772,0.0,1.609969,296.56506
