time_start,time_end,temperature,precips,clouds
2017-10-01,2017-10-02,"[24, None, 23, 23, 22, 23, 22, 23, 24, 26, 27, 29, 29, 29.9, 31, 31, 30, 30, 27, 26, 25, 24, 23, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[93, 90, 88, 84, 81, 83, 85, 79, 72, 71, 78, 86, 86, 79, 74, 73, 73, 67, 66, 69, 70, 71, 82, 96]"
2017-10-02,2017-10-03,"[23, 23, 23, 23, 23, 23, 23, 23, 23, 25, 25, 26, 27, 28, 27, 28, 27, 27, 26, 25, 24.3, 23.7, 23, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.2, 0.2, 0.2, 0.2, 0.3, 0.3, 0.4, 0.5, 0.4, 0.4]","[97, 96, 94, 88, 90, 94, 96, 95, 90, 73, 57, 67, 85, 91, 78, 48, 35, 34, 47, 61, 69, 73, 74, 76]"
2017-10-03,2017-10-04,"[23, 23, 23, 23, 23, 23, 23, 23.8, 24.6, 25.4, 26.2, 27, 29, 28, 27, 28, 26, 25, 25, 25, 24, 24, 24, 24]","[0.4, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.2, 0.3, 0.4, 0.6, 0.6]","[75, 71, 68, 67, 71, 73, 82, 90, 88, 87, 67, 52, 52, 53, 49, 53, 51, 49, 63, 87, 89, 91, 83, 76]"
2017-10-04,2017-10-05,"[23, 23, 23, 23, 23, 23, 23, 22.6, 23, 24, 25, 26, 27, 27.1, 27.3, 27.6, 27.8, 28, 27, 26, 25, 24, 24, 23]","[0.7, 0.1, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[84, 84, 86, 89, 90, 95, 91, 76, 59, 49, 36, 37, 50, 67, 82, 90, 96, 97, 97, 97, 96, 89, 78, 75]"
2017-10-05,2017-10-06,"[23, 22, 22, 21, 22, 21, 21.5, 22, 22, 23.3, 24.5, 25.8, 27, 28.3, 28, 29, 27.9, 28, 27, 25.3, 25, 24.4, 23.8, 23.2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[71, 68, 66, 73, 73, 65, 52, 35, 18, 10, 18, 23, 29, 39, 50, 58, 71, 77, 83, 87, 89, 88, 86, 82]"
2017-10-06,2017-10-07,"[22.6, 22, 22, 22, 21, 21, 21.7, 22.3, 23.6, 24.8, 26.2, 27.6, 29, 31, 30, 30, 31, 30, 29, 27, 26, 25, 24, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[83, 87, 93, 96, 98, 96, 91, 76, 67, 49, 44, 59, 76, 89, 90, 82, 67, 50, 46, 50, 50, 50, 52, 57]"
2017-10-07,2017-10-08,"[23, 23, 23, 22, 22, 22, 22, 22, 22, 23, 25, 26, 29, 29, 30, 30, 30, 30, 28, 27, 26, 25, 25, 24.2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[57, 59, 72, 82, 87, 91, 92, 93, 93, 92, 90, 87, 85, 85, 80, 72, 66, 64, 53, 51, 50, 45, 42, 40]"
2017-10-08,2017-10-09,"[23.4, 22.6, 21.8, 21, 21, 21, 21, 21, 23, 25, 27, 28, 29, 31, 32, 31, 31, 30, 27, 25, 24, 23, 22, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.1]","[36, 32, 32, 38, 53, 45, 21, 8, 38, 80, 93, 95, 84, 59, 27, 25, 28, 31, 31, 36, 47, 46, 47, 73]"
2017-10-09,2017-10-10,"[22, 21, 21, 21, 21, 21, 21, 21, 22, 24, 25, 26, 26, 27, 27, 27, 26.7, 26.3, 26, 25, 24, 24, 23, 22]","[0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[87, 89, 81, 59, 31, 22, 21, 28, 20, 9, 6, 18, 18, 8, 8, 15, 15, 8, 14, 20, 32, 44, 50, 50]"
2017-10-10,2017-10-11,"[21.7, 21.3, 21, 21, 21, 21, 21, 21, 22, 24, 26, 28, 29, 27, 28, 28, 27, 27, 26, 25, 24, 23.6, 23.2, 22.8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[62, 73, 76, 89, 86, 66, 47, 43, 51, 54, 53, 49, 36, 29, 20, 16, 12, 12, 19, 27, 38, 41, 46, 66]"
