time_start,time_end,Overcast_clouds,Broken_clouds,Scattered_clouds,Light_rain,Few_clouds,Clear_Sky
2016-10-01,2016-10-02,23,1,0,0,0,0
2016-10-02,2016-10-03,24,0,0,0,0,0
2016-10-03,2016-10-04,15,5,4,0,0,0
2016-10-04,2016-10-05,13,6,4,0,1,0
2016-10-05,2016-10-06,19,5,0,0,0,0
2016-10-06,2016-10-07,22,2,0,0,0,0
2016-10-07,2016-10-08,16,8,0,0,0,0
2016-10-08,2016-10-09,4,7,12,0,1,0
2016-10-09,2016-10-10,5,19,0,0,0,0
2016-10-10,2016-10-11,18,5,1,0,0,0
2016-10-11,2016-10-12,0,11,10,0,3,0
2016-10-12,2016-10-13,9,6,5,0,4,0
2016-10-13,2016-10-14,5,12,4,0,3,0
2016-10-14,2016-10-15,15,6,3,0,0,0
2016-10-15,2016-10-16,14,6,4,0,0,0
2016-10-16,2016-10-17,13,3,5,0,3,0
2016-10-17,2016-10-18,4,6,5,0,7,2
2016-10-18,2016-10-19,0,7,1,0,7,9
2016-10-19,2016-10-20,0,0,2,0,19,3
2016-10-20,2016-10-21,7,0,9,0,8,0
2016-10-21,2016-10-22,5,7,2,0,8,2
2016-10-22,2016-10-23,0,16,5,0,3,0
2016-10-23,2016-10-24,0,2,13,0,9,0
2016-10-24,2016-10-25,7,5,4,0,8,0
2016-10-25,2016-10-26,7,2,9,0,6,0
2016-10-26,2016-10-27,5,6,6,0,7,0
2016-10-27,2016-10-28,9,5,10,0,0,0
2016-10-28,2016-10-29,8,5,11,0,0,0
2016-10-29,2016-10-30,10,6,8,0,0,0
2016-10-30,2016-10-31,3,5,5,0,9,2
2016-10-31,2016-11-01,21,1,2,0,0,0
2016-11-01,2016-11-02,16,1,6,0,1,0
2016-11-02,2016-11-03,7,17,0,0,0,0
2016-11-03,2016-11-04,13,9,2,0,0,0
2016-11-04,2016-11-05,3,10,8,0,3,0
2016-11-05,2016-11-06,0,2,10,0,12,0
2016-11-06,2016-11-07,1,3,12,0,7,1
2016-11-07,2016-11-08,3,4,10,0,6,1
2016-11-08,2016-11-09,2,5,7,0,9,1
2016-11-09,2016-11-10,0,3,6,0,15,0
2016-11-10,2016-11-11,20,4,0,0,0,0
2016-11-11,2016-11-12,19,5,0,0,0,0
2016-11-12,2016-11-13,15,3,6,0,0,0
2016-11-13,2016-11-14,24,0,0,0,0,0
2016-11-14,2016-11-15,21,3,0,0,0,0
2016-11-15,2016-11-16,10,10,4,0,0,0
2016-11-16,2016-11-17,18,6,0,0,0,0
2016-11-17,2016-11-18,24,0,0,0,0,0
2016-11-18,2016-11-19,21,2,1,0,0,0
2016-11-19,2016-11-20,24,0,0,0,0,0
2016-11-20,2016-11-21,22,2,0,0,0,0
2016-11-21,2016-11-22,13,4,0,0,2,5
2016-11-22,2016-11-23,24,0,0,0,0,0
2016-11-23,2016-11-24,11,7,6,0,0,0
2016-11-24,2016-11-25,8,11,4,0,1,0
2016-11-25,2016-11-26,24,0,0,0,0,0
2016-11-26,2016-11-27,7,7,6,0,4,0
2016-11-27,2016-11-28,22,2,0,0,0,0
2016-11-28,2016-11-29,17,5,2,0,0,0
2016-11-29,2016-11-30,19,4,1,0,0,0
2016-11-30,2016-12-01,4,4,6,0,10,0
2016-12-01,2016-12-02,8,12,4,0,0,0
2016-12-02,2016-12-03,18,6,0,0,0,0
2016-12-03,2016-12-04,12,2,6,0,4,0
2016-12-04,2016-12-05,18,6,0,0,0,0
2016-12-05,2016-12-06,13,11,0,0,0,0
2016-12-06,2016-12-07,13,10,1,0,0,0
2016-12-07,2016-12-08,24,0,0,0,0,0
2016-12-08,2016-12-09,21,3,0,0,0,0
2016-12-09,2016-12-10,13,7,4,0,0,0
2016-12-10,2016-12-11,14,2,2,0,6,0
2016-12-11,2016-12-12,11,10,3,0,0,0
2016-12-12,2016-12-13,15,9,0,0,0,0
2016-12-13,2016-12-14,10,14,0,0,0,0
2016-12-14,2016-12-15,24,0,0,0,0,0
2016-12-15,2016-12-16,20,4,0,0,0,0
2016-12-16,2016-12-17,24,0,0,0,0,0
2016-12-17,2016-12-18,11,9,2,0,2,0
2016-12-18,2016-12-19,2,3,11,0,8,0
2016-12-19,2016-12-20,7,2,5,0,10,0
2016-12-20,2016-12-21,14,8,2,0,0,0
2016-12-21,2016-12-22,7,1,3,0,8,5
2016-12-22,2016-12-23,11,11,2,0,0,0
2016-12-23,2016-12-24,21,3,0,0,0,0
2016-12-24,2016-12-25,13,11,0,0,0,0
2016-12-25,2016-12-26,14,9,1,0,0,0
2016-12-26,2016-12-27,5,10,9,0,0,0
2016-12-27,2016-12-28,16,4,4,0,0,0
2016-12-28,2016-12-29,14,8,2,0,0,0
2016-12-29,2016-12-30,13,11,0,0,0,0
2016-12-30,2016-12-31,18,6,0,0,0,0
2016-12-31,2017-01-01,15,6,3,0,0,0
2017-01-01,2017-01-02,19,5,0,0,0,0
2017-01-02,2017-01-03,5,19,0,0,0,0
2017-01-03,2017-01-04,6,8,4,0,6,0
2017-01-04,2017-01-05,8,13,2,0,1,0
2017-01-05,2017-01-06,13,10,1,0,0,0
2017-01-06,2017-01-07,21,3,0,0,0,0
2017-01-07,2017-01-08,16,0,0,8,0,0
2017-01-08,2017-01-09,9,0,0,15,0,0
2017-01-09,2017-01-10,11,4,0,7,0,0
2017-01-10,2017-01-11,10,1,2,6,5,0
2017-01-11,2017-01-12,16,8,0,0,0,0
2017-01-12,2017-01-13,24,0,0,0,0,0
2017-01-13,2017-01-14,19,5,0,0,0,0
2017-01-14,2017-01-15,11,11,0,2,0,0
2017-01-15,2017-01-16,24,0,0,0,0,0
2017-01-16,2017-01-17,10,8,6,0,0,0
2017-01-17,2017-01-18,8,11,5,0,0,0
2017-01-18,2017-01-19,14,8,2,0,0,0
2017-01-19,2017-01-20,13,11,0,0,0,0
2017-01-20,2017-01-21,20,0,0,4,0,0
2017-01-21,2017-01-22,24,0,0,0,0,0
2017-01-22,2017-01-23,11,9,4,0,0,0
2017-01-23,2017-01-24,21,3,0,0,0,0
2017-01-24,2017-01-25,14,9,1,0,0,0
2017-01-25,2017-01-26,24,0,0,0,0,0
2017-01-26,2017-01-27,13,0,0,11,0,0
2017-01-27,2017-01-28,19,3,0,2,0,0
2017-01-28,2017-01-29,18,6,0,0,0,0
2017-01-29,2017-01-30,11,10,0,3,0,0
2017-01-30,2017-01-31,2,2,0,19,0,0
