time_start,time_end,temperature,precips,clouds
2018-10-14,2018-10-15,"[22, 22, 22, 21, 21, 22, 22, 22.2, 23, 24, 24, 25, 26, 29, 27, 27, 25.8, 26, 24, 23, 22, 22, 22, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[73, 83, 89, 89, 86, 86, 86, 86, 86, 86, 85, 84, 82, 81, 79, 68, 50, 31, 31, 54, 57, 56, 60, 61]"
2018-10-15,2018-10-16,"[22, 22, 22, 22, 22, 22, 22, 22.5, 23, 24, 24.9, 26, 26, 27.4, 27, 27, 28.4, 26, 25, 24.1, 23, 23, 21, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[64, 48, 39, 37, 49, 61, 74, 69, 55, 38, 36, 36, 31, 27, 24, 27, 36, 55, 82, 88, 85, 87, 84, 80]"
2018-10-16,2018-10-17,"[22, 22, 22, 22, 22, 22, 23, 22.7, 24, 25, 25.5, 26, 28, 28.7, 29, 30, 30.4, 27, 26, 24.5, 24, 23, 23, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[71, 67, 87, 96, 96, 96, 96, 96, 96, 91, 85, 81, 79, 77, 66, 51, 34, 23, 29, 32, 37, 32, 28, 30]"
2018-10-17,2018-10-18,"[22, 22, 22, 22, 23, 22, 22, 22.4, 23, 25, 25.7, 27, 27, 27.7, 27, 29, 27, 27, 26, 24.3, 24, 23, 23, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[46, 78, 87, 93, 96, 96, 96, 90, 71, 46, 26, 31, 45, 47, 42, 38, 46, 46, 45, 46, 47, 55, 51, 47]"
2018-10-18,2018-10-19,"[22, 22, 22, 22, 22, 22, 22, 21.9, 23, 24, 25.2, 27, 26, 27, 29, 30, 28.6, 28, 27, 25.3, 25, 24, 23, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[61, 81, 84, 83, 79, 74, 73, 77, 77, 68, 51, 49, 56, 69, 79, 80, 65, 43, 45, 59, 71, 80, 82, 83]"
2018-10-19,2018-10-20,"[22, 22, 21, 22, 22, 22, 22, 22.2, 23, 25, 26, None, None, None, 25, 25, 25, 25, 24, 23, 23, 23, 22, 22]","[0, 0, 0, 0.1, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[83, 82, 91, 96, 96, 96, 94, 90, 86, 81, 76, 80, 87, 89, 90, 89, 90, 87, 85, 85, 88, 91, 91, 90]"
2018-10-20,2018-10-21,"[22, 22, 22, 22, 22, 22, 22, 21.8, 23, 25, 27, 27, 28, 29, 31, 30, 30, 29, 28, 26, 25, 24, 23, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[87, 86, 89, 92, 90, 81, 66, 58, 54, 52, 57, 65, 67, 72, 84, 88, 90, 91, 92, 92, 92, 91, 90, 88]"
2018-10-21,2018-10-22,"[22, 22, 22, 22, 22, 21, 21, 21.7, 23, 24, 26, 27, 29, 29.6, 31, 30.9, 30.8, 30, 27, 25.7, 24, 23, 23, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[86, 84, 81, 82, 86, 91, 89, 82, 78, 70, 65, 62, 58, 58, 55, 49, 47, 47, 46, 47, 48, 49, 48, 57]"
2018-10-22,2018-10-23,"[22, 22, 22, 22, 22, 22, 22, 22, 23, 25, 26, 27, 29, 28.5, 30, 30, 29.9, 30, 27, None, None, None, 23, 22.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[79, 85, 91, 90, 90, 91, 87, 77, 59, 33, 25, 22, 23, 29, 32, 37, 51, 68, 67, 59, 64, 68, 75, 85]"
2018-10-23,2018-10-24,"[22, 22, 22, 22, 22, 22, 22, 22.2, 23, 25, 25, 26, 27, 28, 28, 28, 27.3, 27, 26, 24.9, 24, 23, 23, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[95, 96, 96, 96, 95, 77, 66, 69, 73, 75, 75, 77, 83, 87, 85, 71, 54, 41, 35, 35, 44, 52, 53, 53]"
